,season_id,player_id,player_season,player,season,season_start,team,games,gamesstarted,mp,fg_perc,3p_perc,2p_perc,ft_perc,trb,ast,stl,blk,tov,pf,pts,all_nba
0,0,0,1,Alaa Abdelnaby,1990-91,1990,POR,43,0,6.7,0.474,0.0,0.474,0.568,2.1,0.3,0.1,0.3,0.5,0.9,3.1,0
1,1,0,2,Alaa Abdelnaby,1991-92,1991,POR,71,1,13.2,0.493,0.0,0.493,0.752,3.7,0.4,0.4,0.2,0.9,1.9,6.1,0
2,2,0,3,Alaa Abdelnaby,1992-93,1992,TOT,75,52,17.5,0.518,0.0,0.519,0.759,4.5,0.4,0.3,0.3,1.3,2.5,7.7,0
3,3,0,4,Alaa Abdelnaby,1993-94,1993,BOS,13,0,12.2,0.436,0.0,0.436,0.64,3.5,0.2,0.2,0.2,1.3,1.5,4.9,0
4,4,0,5,Alaa Abdelnaby,1994-95,1994,TOT,54,0,9.4,0.511,0.0,0.515,0.571,2.1,0.2,0.3,0.2,0.8,1.9,4.7,0
5,5,1,1,Mahmoud Abdul-Rauf,1990-91,1990,DEN,67,19,22.5,0.413,0.24,0.432,0.857,1.8,3.1,0.8,0.1,1.6,2.2,14.1,0
6,6,1,2,Mahmoud Abdul-Rauf,1991-92,1991,DEN,81,11,19.0,0.421,0.33,0.433,0.87,1.4,2.4,0.5,0.0,1.4,1.6,10.3,0
7,7,1,3,Mahmoud Abdul-Rauf,1992-93,1992,DEN,81,81,33.5,0.45,0.355,0.465,0.935,2.8,4.2,1.0,0.1,2.3,2.2,19.2,0
8,8,1,4,Mahmoud Abdul-Rauf,1993-94,1993,DEN,80,78,32.7,0.46,0.316,0.476,0.956,2.1,4.5,1.0,0.1,1.9,1.9,18.0,0
9,9,1,5,Mahmoud Abdul-Rauf,1994-95,1994,DEN,73,43,28.5,0.47,0.386,0.492,0.885,1.9,3.6,1.1,0.1,1.6,1.7,16.0,0
10,10,1,6,Mahmoud Abdul-Rauf,1995-96,1995,DEN,57,53,35.6,0.434,0.392,0.454,0.93,2.4,6.8,1.1,0.1,2.0,2.1,19.2,0
11,11,1,7,Mahmoud Abdul-Rauf,1996-97,1996,SAC,75,51,28.4,0.445,0.382,0.468,0.846,1.6,2.5,0.7,0.1,1.6,2.3,13.7,0
12,12,1,8,Mahmoud Abdul-Rauf,1997-98,1997,SAC,31,0,17.1,0.377,0.161,0.405,1.0,1.2,1.9,0.5,0.0,0.6,1.0,7.3,0
13,13,1,9,Mahmoud Abdul-Rauf,2000-01,2000,VAN,41,0,11.9,0.488,0.286,0.5,0.759,0.6,1.9,0.2,0.0,0.6,1.2,6.5,0
14,14,2,1,Tariq Abdul-Wahad,1997-98,1997,SAC,59,16,16.3,0.403,0.211,0.414,0.672,2.0,0.9,0.6,0.2,1.1,1.4,6.4,0
15,15,2,2,Tariq Abdul-Wahad,1998-99,1998,SAC,49,49,24.6,0.435,0.286,0.443,0.691,3.8,1.0,1.0,0.3,1.4,2.5,9.3,0
16,16,2,3,Tariq Abdul-Wahad,1999-00,1999,TOT,61,56,25.9,0.424,0.13,0.435,0.756,4.8,1.6,1.0,0.5,1.7,2.4,11.4,0
17,17,2,4,Tariq Abdul-Wahad,2000-01,2000,DEN,29,12,14.5,0.387,0.4,0.386,0.583,2.0,0.8,0.5,0.4,1.2,1.9,3.8,0
18,18,2,5,Tariq Abdul-Wahad,2001-02,2001,TOT,24,12,18.4,0.374,0.5,0.372,0.727,3.5,1.0,0.8,0.4,1.1,2.3,5.6,0
19,19,2,6,Tariq Abdul-Wahad,2002-03,2002,DAL,14,0,14.6,0.466,0.0,0.474,0.5,2.9,1.5,0.4,0.2,0.5,1.9,4.1,0
20,20,3,1,Shareef Abdur-Rahim,1996-97,1996,VAN,80,71,35.0,0.453,0.259,0.457,0.746,6.9,2.2,1.0,1.0,2.8,2.5,18.7,0
21,21,3,2,Shareef Abdur-Rahim,1997-98,1997,VAN,82,82,36.0,0.485,0.412,0.488,0.784,7.1,2.6,1.1,0.9,3.1,2.5,22.3,0
22,22,3,3,Shareef Abdur-Rahim,1998-99,1998,VAN,50,50,40.4,0.432,0.306,0.438,0.841,7.5,3.4,1.4,1.1,3.7,2.7,23.0,0
23,23,3,4,Shareef Abdur-Rahim,1999-00,1999,VAN,82,82,39.3,0.465,0.302,0.478,0.809,10.1,3.3,1.1,1.1,3.0,3.0,20.3,0
24,24,3,5,Shareef Abdur-Rahim,2000-01,2000,VAN,81,81,40.0,0.472,0.188,0.487,0.834,9.1,3.1,1.1,1.0,2.9,2.9,20.5,0
25,25,3,6,Shareef Abdur-Rahim,2001-02,2001,ATL,77,77,38.7,0.461,0.3,0.47,0.801,9.0,3.1,1.3,1.1,3.2,2.8,21.2,0
26,26,3,7,Shareef Abdur-Rahim,2002-03,2002,ATL,81,81,38.1,0.478,0.35,0.485,0.841,8.4,3.0,1.1,0.5,2.6,3.0,19.9,0
27,27,3,8,Shareef Abdur-Rahim,2003-04,2003,TOT,85,56,31.6,0.475,0.265,0.482,0.869,7.5,2.0,0.8,0.4,2.2,2.6,16.3,0
28,28,3,9,Shareef Abdur-Rahim,2004-05,2004,POR,54,49,34.6,0.503,0.385,0.51,0.866,7.3,2.1,0.9,0.5,2.2,2.8,16.8,0
29,29,3,10,Shareef Abdur-Rahim,2005-06,2005,SAC,72,30,27.2,0.525,0.227,0.536,0.784,5.0,2.1,0.7,0.6,1.5,3.2,12.3,0
30,30,3,11,Shareef Abdur-Rahim,2006-07,2006,SAC,80,45,25.2,0.474,0.15,0.484,0.726,5.0,1.4,0.7,0.5,1.5,3.0,9.9,0
31,31,3,12,Shareef Abdur-Rahim,2007-08,2007,SAC,6,0,8.5,0.214,0.0,0.214,1.0,1.7,0.7,0.2,0.0,0.2,1.5,1.7,0
32,32,4,1,Alex Abrines,2016-17,2016,OKC,66,6,15.5,0.391,0.372,0.443,0.898,1.2,0.6,0.5,0.1,0.5,1.7,5.9,0
33,33,5,1,Alex Abrines,2017-18,2017,OKC,75,8,15.1,0.395,0.38,0.443,0.848,1.5,0.4,0.5,0.1,0.3,1.7,4.7,0
35,35,6,1,Alex Acker,2005-06,2005,DET,5,0,7.0,0.25,0.2,0.273,0.0,1.0,0.8,0.2,0.0,0.8,0.8,1.8,0
36,36,6,2,Alex Acker,2008-09,2008,TOT,25,0,8.0,0.395,0.35,0.411,0.5,1.0,0.5,0.2,0.2,0.3,0.4,2.9,0
37,37,7,1,Mark Acres,1987-88,1987,BOS,79,5,14.6,0.532,0.0,0.532,0.64,3.4,0.5,0.4,0.3,0.7,2.5,3.6,0
38,38,7,2,Mark Acres,1988-89,1988,BOS,62,0,10.2,0.482,1.0,0.478,0.542,2.4,0.3,0.3,0.1,0.4,1.5,2.2,0
39,39,7,3,Mark Acres,1989-90,1989,ORL,80,50,21.1,0.484,0.75,0.48,0.692,5.4,0.8,0.5,0.3,0.9,3.1,4.5,0
40,40,7,4,Mark Acres,1990-91,1990,ORL,68,0,19.3,0.509,0.333,0.512,0.653,5.3,0.4,0.4,0.4,0.6,3.2,4.2,0
41,41,7,5,Mark Acres,1991-92,1991,ORL,68,6,13.6,0.517,0.333,0.52,0.761,3.7,0.3,0.4,0.2,0.5,2.1,3.1,0
42,42,7,6,Mark Acres,1992-93,1992,TOT,18,7,14.9,0.531,0.5,0.532,0.688,3.7,0.3,0.2,0.3,0.7,1.9,3.6,0
43,43,8,1,Quincy Acy,2012-13,2012,TOR,29,0,11.8,0.56,0.5,0.562,0.816,2.7,0.4,0.4,0.5,0.6,1.8,4.0,0
44,44,8,2,Quincy Acy,2013-14,2013,TOT,63,0,13.4,0.468,0.267,0.492,0.66,3.4,0.4,0.4,0.4,0.5,1.9,2.7,0
45,45,8,3,Quincy Acy,2014-15,2014,NYK,68,22,18.9,0.459,0.3,0.494,0.784,4.4,1.0,0.4,0.3,0.9,2.2,5.9,0
46,46,8,4,Quincy Acy,2015-16,2015,SAC,59,29,14.8,0.556,0.388,0.606,0.735,3.2,0.5,0.5,0.4,0.5,1.7,5.2,0
47,47,8,5,Quincy Acy,2016-17,2016,TOT,36,1,14.6,0.422,0.424,0.421,0.75,3.1,0.4,0.4,0.4,0.6,1.8,6.0,0
48,48,8,6,Quincy Acy,2017-18,2017,BRK,70,8,19.4,0.356,0.349,0.384,0.817,3.7,0.8,0.5,0.4,0.9,2.1,5.9,0
50,55,12,1,Michael Adams,1985-86,1985,SAC,18,0,7.7,0.364,0.0,0.39,0.667,0.3,1.2,0.5,0.1,0.6,0.5,2.2,0
51,56,12,2,Michael Adams,1986-87,1986,WSB,63,0,20.7,0.407,0.275,0.454,0.847,2.0,3.9,1.3,0.1,1.3,1.4,7.2,0
52,57,12,3,Michael Adams,1987-88,1987,DEN,82,75,33.9,0.449,0.367,0.505,0.834,2.7,6.1,2.0,0.2,1.8,1.7,13.9,0
53,58,12,4,Michael Adams,1988-89,1988,DEN,77,77,36.2,0.433,0.356,0.49,0.819,3.7,6.4,2.2,0.1,2.3,1.9,18.5,0
54,59,12,5,Michael Adams,1989-90,1989,DEN,79,74,34.1,0.402,0.366,0.431,0.85,2.8,6.3,1.5,0.0,1.8,1.7,15.5,0
55,60,12,6,Michael Adams,1990-91,1990,DEN,66,66,35.5,0.394,0.296,0.459,0.879,3.9,10.5,2.2,0.1,3.6,2.5,26.5,0
