,id_odsp,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
9142,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt13,13.0,14.0,Foul by Lionel Messi (Barcelona).,Foul,,Home,Barcelona,Villarreal,lionel messi,,,,,,0.0,,,None,,0.0
9147,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt18,18.0,17.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from a difficult angle on the left is saved in the bottom left corner. Assisted by Pedro.,Attempt,Key Pass,Home,Barcelona,Villarreal,lionel messi,pedro,,,Bottom left corner,On target,0.0,Difficult angle on the left,left foot,Pass,Open play,0.0
9151,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt22,22.0,19.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from outside the box is saved in the bottom right corner.,Attempt,,Home,Barcelona,Villarreal,lionel messi,,,,Bottom right corner,On target,0.0,Outside the box,left foot,None,Open play,0.0
9155,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt26,26.0,22.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Villarreal,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
9164,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt35,35.0,31.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Villarreal,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
9192,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt63,63.0,52.0,"Goal!  Barcelona 4, Villarreal 0. Lionel Messi (Barcelona) right footed shot from the right side of the six yard box to the bottom right corner. Assisted by AndrA©s Iniesta with a through ball.",Attempt,Key Pass,Home,Barcelona,Villarreal,lionel messi,andres iniesta,,,Bottom right corner,On target,1.0,Right side of the six yard box,right foot,Through ball,Open play,0.0
9205,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt76,76.0,70.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Thiago AlcA¡ntara.,Attempt,Key Pass,Home,Barcelona,Villarreal,lionel messi,thiago alcantara,,,Centre of the goal,On target,0.0,Left side of the box,left foot,Pass,Open play,0.0
9211,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt82,82.0,73.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Villarreal,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
9212,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt83,83.0,74.0,"Goal!  Barcelona 5, Villarreal 0. Lionel Messi (Barcelona) left footed shot from very close range to the centre of the goal. Assisted by Thiago AlcA¡ntara.",Attempt,Key Pass,Home,Barcelona,Villarreal,lionel messi,thiago alcantara,,,Centre of the goal,On target,1.0,Very close range,left foot,Pass,Open play,0.0
10952,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo60,60.0,66.0,Foul by Lionel Messi (Barcelona).,Foul,,Away,Barcelona,Real Sociedad,lionel messi,,,,,,0.0,,,None,,0.0
10954,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo62,62.0,67.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Real Sociedad,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
10957,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo65,65.0,70.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from outside the box is saved in the bottom right corner.,Attempt,,Away,Barcelona,Real Sociedad,lionel messi,,,,Bottom right corner,On target,0.0,Outside the box,left foot,None,Open play,0.0
10958,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo66,66.0,71.0,Attempt missed. Lionel Messi (Barcelona) left footed shot from outside the box misses to the right. Assisted by Pedro.,Attempt,Key Pass,Away,Barcelona,Real Sociedad,lionel messi,pedro,,,Misses to the right,Off target,0.0,Outside the box,left foot,Pass,Open play,0.0
10965,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo73,73.0,80.0,Attempt blocked. Lionel Messi (Barcelona) right footed shot from the centre of the box is blocked. Assisted by David Villa.,Attempt,Key Pass,Away,Barcelona,Real Sociedad,lionel messi,david villa,,,Blocked,Blocked,0.0,Centre of the box,right foot,Pass,Open play,0.0
10966,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo74,74.0,80.0,Attempt saved. Lionel Messi (Barcelona) right footed shot from a difficult angle on the right is saved in the centre of the goal. Assisted by Pedro with a through ball.,Attempt,Key Pass,Away,Barcelona,Real Sociedad,lionel messi,pedro,,,Centre of the goal,On target,0.0,Difficult angle on the right,right foot,Through ball,Open play,0.0
10971,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo79,79.0,82.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Real Sociedad,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
10987,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo95,95.0,90.0,Lionel Messi (Barcelona) is shown the yellow card.,Yellow card,,Away,Barcelona,Real Sociedad,lionel messi,,,,,,0.0,,,None,,0.0
