PERSON_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY,AGE
1630173,Precious Achiuwa,Raptors,Forward,203,102,Nigeria,1999-09-19,2,20,134,18.4,7.2,5.1,0.8,0.4,0.5,2711280,"23 years, 0 months, 0 days"
203500,Steven Adams,Grizzlies,Center,211,120,New Zealand,1993-07-20,9,12,664,26.8,9.3,8.0,1.5,0.9,0.9,17073171,"29 years, 1 months, 30 days"
1628389,Bam Adebayo,Heat,Center,206,116,USA,1997-07-18,5,14,343,28.2,13.5,8.3,3.5,1.0,0.9,28103550,"25 years, 2 months, 1 days"
1630583,Santi Aldama,Grizzlies,Forward,211,98,Spain,2001-01-10,1,30,32,11.2,4.1,2.7,0.7,0.2,0.3,1994520,"21 years, 8 months, 9 days"
200746,LaMarcus Aldridge,Nets,Center,211,113,USA,1985-07-19,16,2,1076,33.7,19.1,8.1,1.9,0.7,1.1,2641691,"37 years, 2 months, 0 days"
1629638,Nickeil Alexander-Walker,Jazz,Guard,196,93,Canada,1998-09-02,3,17,158,19.4,9.3,2.6,2.2,0.7,0.3,3261480,"24 years, 0 months, 17 days"
1628960,Grayson Allen,Bucks,Guard,193,90,USA,1995-10-08,4,21,192,21.9,9.4,2.6,1.5,0.6,0.2,4054695,"26 years, 11 months, 11 days"
1628386,Jarrett Allen,Cavaliers,Center,208,110,USA,1998-04-21,5,22,341,26.6,11.6,8.7,1.4,0.5,1.4,20000000,"24 years, 4 months, 29 days"
203937,Kyle Anderson,Timberwolves,Forward,206,104,USA,1993-09-20,8,30,505,21.0,6.7,4.4,2.3,1.0,0.6,9937150,"28 years, 11 months, 30 days"
203507,Giannis Antetokounmpo,Bucks,Forward,211,110,Greece,1994-12-06,9,15,656,32.6,21.8,9.4,4.6,1.2,1.3,39344970,"27 years, 9 months, 13 days"
203648,Thanasis Antetokounmpo,Bucks,Forward,198,99,Greece,1992-07-18,4,51,127,9.1,3.1,2.0,0.7,0.4,0.2,1729217,"30 years, 2 months, 1 days"
2546,Carmelo Anthony,Lakers,Forward,201,108,USA,1984-05-29,19,3,1260,34.5,22.5,6.2,2.7,1.0,0.5,2641691,"38 years, 3 months, 21 days"
1630175,Cole Anthony,Magic,Guard,190,84,USA,2000-05-15,2,15,112,29.8,14.9,5.1,5.0,0.7,0.3,3449400,"22 years, 4 months, 4 days"
1628384,OG Anunoby,Raptors,Forward,201,105,United Kingdom,1997-07-17,5,23,301,26.8,10.4,4.1,1.4,1.1,0.5,16071429,"25 years, 2 months, 2 days"
1627853,Ryan Arcidiacono,Bulls,Guard,190,88,USA,1994-03-26,6,Undrafted,217,17.2,4.6,2.0,2.1,0.5,0.0,586136,"28 years, 5 months, 24 days"
201571,D.J. Augustin,Lakers,Guard,180,83,USA,1987-11-10,14,9,976,23.4,9.5,1.8,3.9,0.6,0.0,7622467,"34 years, 10 months, 9 days"
1630166,Deni Avdija,Wizards,Forward,206,95,Israel,2001-01-03,2,9,136,23.8,7.6,5.1,1.7,0.7,0.4,4692840,"21 years, 8 months, 16 days"
1629028,Deandre Ayton,Suns,Center,211,113,Bahamas,1998-07-23,4,1,236,30.7,16.3,10.5,1.6,0.7,1.0,12632950,"24 years, 1 months, 27 days"
1628962,Udoka Azubuike,Jazz,Center,213,122,Nigeria,1999-09-17,2,27,32,7.9,3.0,2.6,0.0,0.1,0.5,2075880,"23 years, 0 months, 2 days"
1628963,Marvin Bagley III,Pistons,Forward,211,107,USA,1999-03-14,4,2,166,25.1,13.6,7.4,0.9,0.5,0.7,11312114,"23 years, 6 months, 5 days"
1630163,LaMelo Ball,Hornets,Guard,201,82,USA,2001-08-22,2,3,126,30.9,18.3,6.4,7.0,1.6,0.4,8231760,"21 years, 0 months, 28 days"
1628366,Lonzo Ball,Bulls,Guard,198,86,USA,1997-10-27,5,2,252,32.5,11.9,5.7,6.2,1.6,0.6,18604651,"24 years, 10 months, 23 days"
