Date,Close Price,High Price,Low Price,Open Price,Volume
2021-12-10 05AM,48246.57,48359.35,48051.08,48170.66,827.39761
2021-12-10 06AM,47847.59,48430,47810.81,48249.78,1296.18883
2021-12-10 07AM,47694.62,48037.48,47550,47847.59,2299.85298
2021-12-10 08AM,48090.35,48169.06,47587.39,47694.62,1371.25447
2021-12-10 09AM,48366.37,48495,47869.8,48090.35,1232.30238
2021-12-10 10AM,48208.23,48495.22,48131.52,48366.36,1227.90194
2021-12-10 11AM,48711,48728,48190.47,48208.23,1547.11902
2021-12-10 12PM,49086.58,49233.49,48655.33,48711,2355.60044
2021-12-10 13PM,49610.99,50125,48850,49092.2,3660.60271
2021-12-10 14PM,48275.5,49839.65,48126,49611,3760.96141
2021-12-10 15PM,47979.22,48604.44,47744.19,48275.5,3260.50106
2021-12-10 16PM,47533.58,48002.35,47251.06,47979.23,3732.90429
2021-12-10 17PM,47713.65,47750.1,47291.78,47535.98,1868.14639
2021-12-10 18PM,47822.77,48326.05,47630.57,47713.65,1750.26547
2021-12-10 19PM,48098.84,48204.18,47438.96,47822.76,1259.57385
2021-12-10 20PM,48430.69,48464.48,48084.06,48098.84,1044.17494
2021-12-10 21PM,47922.24,48522.5,47800,48430.69,1197.0791
2021-12-10 22PM,47528.12,48100,47450.01,47914.83,948.47027
2021-12-10 23PM,47140.54,47800,46852,47528.12,2390.19476
2021-12-11 00AM,47746.28,48444.44,46751,47140.54,4037.35492
2021-12-11 01AM,47920,48249.97,47655.45,47746.28,1338.10207
2021-12-11 02AM,48249,48250,47900,47919.99,809.48635
2021-12-11 03AM,48296.99,48683.7,48160.77,48249,1329.12996
2021-12-11 04AM,48530.63,48609.47,48257.63,48297,823.6219
2021-12-11 05AM,48322.46,48586.12,48189.01,48530.63,719.97084
2021-12-11 06AM,48042.18,48881.99,48008.03,48322.46,1584.51332
2021-12-11 07AM,48021.76,48165.18,47765.33,48040.5,1944.7745
2021-12-11 08AM,48391.51,48900,47843.1,48021.75,1994.80663
2021-12-11 09AM,48529.7,48627,48120.09,48391.51,840.81984
2021-12-11 10AM,48385.53,48582.71,48314.58,48529.71,747.82363
2021-12-11 11AM,48240.44,48458.57,48158.24,48385.53,683.23234
2021-12-11 12PM,48517.58,48571.42,48186.38,48240.43,887.01485
2021-12-11 13PM,48353.48,48943.92,48200,48517.58,1395.45396
2021-12-11 14PM,48465,48554.99,48160,48353.48,815.34531
2021-12-11 15PM,48747.02,48771.72,48429.02,48465,870.45019
2021-12-11 16PM,48983.91,49276,48678.18,48745.11,1936.7472
2021-12-11 17PM,48700,49044.38,48569,48983.9,1270.8191
2021-12-11 18PM,48671.6,48863.26,48568.7,48699.99,695.85621
2021-12-11 19PM,48407.25,48792.11,48385.98,48671.6,708.39378
2021-12-11 20PM,48564.07,48736.94,48391.68,48407.25,636.46533
2021-12-11 21PM,48782.79,48839.95,48390.22,48564.06,693.14915
2021-12-11 22PM,48826.36,49146.21,48628.36,48779.31,821.94948
2021-12-11 23PM,49389.99,49485.71,48793.65,48826.36,1303.91272
2021-12-12 00AM,49326.62,49699.95,49208.8,49389.99,1860.27056
2021-12-12 01AM,49181.33,49472.78,49038.85,49326.63,1071.67221
2021-12-12 02AM,49044.38,49350.8,49022.9,49181.32,646.25491
2021-12-12 03AM,49305.7,49394.5,49030,49044.36,738.23985
2021-12-12 04AM,48865.16,49347.53,48824.09,49305.71,959.70111
2021-12-12 05AM,48979.22,49078.91,48832.58,48865.16,492.1433
2021-12-12 06AM,49159.83,49239.21,48941.58,48979.22,448.46543
2021-12-12 07AM,49301.21,49359.86,49082.3,49159.82,509.32565
2021-12-12 08AM,48965.02,49376.79,48943.37,49301.2,870.05521
2021-12-12 09AM,48806.4,49150,48710.66,48965.01,944.37254
2021-12-12 10AM,48917.02,48953.26,48638,48806.39,863.26599
2021-12-12 11AM,49124.33,49299.59,48824,48917.01,841.97478
2021-12-12 12PM,49513.38,49632.87,49107.33,49124.33,1887.23756
2021-12-12 13PM,49795.44,49889,49491.76,49513.38,1617.8614
2021-12-12 14PM,49862.78,49934.59,49507.09,49795.43,1183.58819
2021-12-12 15PM,49623.26,49910,49572.38,49862.79,786.98028
2021-12-12 16PM,49875.08,49893.88,49501.69,49623.26,836.52665
2021-12-12 17PM,50251.94,50490,49739.47,49871.31,3048.42506
2021-12-12 18PM,50468.71,50777,50251.93,50251.94,2022.38063
2021-12-12 19PM,50221.05,50600,50014.48,50468.71,1283.562
2021-12-12 20PM,50270.58,50547.07,50147.8,50221.05,762.99289
2021-12-12 21PM,49950.05,50317.77,49862.75,50266.13,917.78949
2021-12-12 22PM,50272.02,50298.99,49920.03,49950.05,749.98746
2021-12-12 23PM,50053.9,50358.24,49950,50272.02,674.86106
2021-12-13 00AM,49630.66,50189.97,49540,50053.9,1333.10089
2021-12-13 01AM,48597.51,49630.66,48557.73,49630.66,2701.53721
2021-12-13 02AM,48770.42,48930.56,48430.13,48597.51,1537.92901
2021-12-13 03AM,48873.19,49076.74,48691.08,48770.42,1053.46168
2021-12-13 04AM,49025.08,49100,48751.96,48873.2,783.08517
2021-12-13 05AM,49238.03,49350.9,48851.47,49026.65,1076.26977
2021-12-13 06AM,48936.88,49304,48872.46,49238.03,905.81189
2021-12-13 07AM,48740.01,48995.94,48554.77,48936.88,1284.61901
2021-12-13 08AM,49015,49171.57,48145,48740.01,1996.57085
2021-12-13 09AM,48859.29,49035.87,48700.89,49015,863.05186
2021-12-13 10AM,48688.03,48909.35,48502,48859.29,818.76152
2021-12-13 11AM,48847.26,48904.9,48560.85,48688.03,862.51194
2021-12-13 12PM,48588.51,49000,48530.32,48845,1047.54794
2021-12-13 13PM,48420.97,48644.35,48149.63,48588.51,1598.26464
2021-12-13 14PM,47958.62,48426.2,47700.81,48420.97,2860.91865
2021-12-13 15PM,47252.02,47960.69,47012.03,47960.09,4018.43951
2021-12-13 16PM,47141.41,47559.37,46653,47252.02,4670.06575
2021-12-13 17PM,47513.15,47932.19,47070.01,47141.41,2916.45194
2021-12-13 18PM,47444.56,47684.55,47305,47513.16,1045.85113
2021-12-13 19PM,46739.36,47444.55,45672.75,47444.55,9568.79079
2021-12-13 20PM,46659.99,46974.91,46342.69,46739.35,3158.43506
2021-12-13 21PM,46791.74,46900,46214.13,46660,1815.30642
2021-12-13 22PM,46889.28,47288.19,46677.43,46791.74,1754.38097
2021-12-13 23PM,46702.75,47059.55,46555.01,46887.34,1198.35733
2021-12-14 00AM,47000.01,47226.32,46290,46702.76,1757.07383
2021-12-14 01AM,46868.28,47108.23,46580,47000,1050.4912
2021-12-14 02AM,47029.66,47074.79,46677.9,46868.27,1010.55788
2021-12-14 03AM,46952,47117.64,46752.31,47029.65,949.54617
2021-12-14 04AM,46989.67,47176.22,46861.8,46952.01,1274.66918
2021-12-14 05AM,46701.26,47133.99,46675,46989.68,1209.30338
2021-12-14 06AM,46670.32,46961.14,46306.8,46701.26,1672.77134
2021-12-14 07AM,47000,47050,46506.38,46670.32,1246.92289
2021-12-14 08AM,47462,47516.25,46968.24,46999.99,2292.92478
2021-12-14 09AM,46832.65,47498.66,46789.69,47462,1844.99023
2021-12-14 10AM,47345.5,47383.88,46800,46833.11,1654.1727
2021-12-14 11AM,47622,47740,47178.66,47345.5,1848.51791
2021-12-14 12PM,47508.31,47959.77,47505.91,47617.99,2248.9458
2021-12-14 13PM,47168.15,47679.46,46980.94,47508.31,2092.8322
2021-12-14 14PM,47281.94,47333.33,46814.27,47168.15,1847.79492
2021-12-14 15PM,46853.86,47517.27,46617.25,47281.93,2245.26816
2021-12-14 16PM,46737.53,47148,46532.35,46853.87,2027.82043
2021-12-14 17PM,46622.03,47100.01,46543,46739.58,1558.66499
2021-12-14 18PM,46646.68,46946.15,46429.88,46622.02,1459.37371
2021-12-14 19PM,46859.4,47074.44,46631.84,46646.68,1102.35018
2021-12-14 20PM,47785.2,47900,46839.78,46859.42,2355.65086
2021-12-14 21PM,48283.5,48700.41,47746.19,47786.13,2992.57045
2021-12-14 22PM,48268,48468.18,48000,48283.49,1117.84794
2021-12-14 23PM,48343.28,48440,48144.18,48268.01,1094.92332
2021-12-15 00AM,48136.92,48761,48067.04,48336.95,1962.15338
2021-12-15 01AM,48073.46,48180.58,47901,48136.93,1235.00149
2021-12-15 02AM,47997.58,48095.45,47836,48073.47,970.64786
2021-12-15 03AM,48262.41,48299.99,47899.95,47997.57,957.58234
2021-12-15 04AM,48244.14,48444.18,48075.77,48262.4,1742.5507
2021-12-15 05AM,48120.88,48328.37,48045.8,48244.13,1137.24945
2021-12-15 06AM,48057.66,48323.85,48004.41,48120.88,1000.63
2021-12-15 07AM,48209.51,48450,47928.64,48057.65,1057.34298
2021-12-15 08AM,48573.09,48850,48207.5,48209.51,1651.35961
2021-12-15 09AM,48494.44,48600.73,48377.25,48573.1,1100.57469
2021-12-15 10AM,48247.69,48607.7,48176.57,48494.45,1560.28626
2021-12-15 11AM,48132.54,48348.26,48069.68,48247.69,1257.70436
2021-12-15 12PM,47588.42,48300,47517.65,48132.54,2072.69341
2021-12-15 13PM,47652.58,47813.98,47422.87,47588.42,1561.55374
2021-12-15 14PM,47370,47790,47212.87,47652.58,1531.94997
2021-12-15 15PM,46632.31,47496.83,46587,47369.99,3359.91366
2021-12-15 16PM,47004.32,47048.54,46547,46632.3,2248.77374
2021-12-15 17PM,47086.3,47365.97,46861.49,47004.32,1800.49956
2021-12-15 18PM,47829.99,48249.96,47011.29,47086.3,3131.12703
2021-12-15 19PM,48674.9,49259.98,47212,47830,10878.1214
2021-12-15 20PM,49211.84,49500,48527.01,48674.9,4690.61661
2021-12-15 21PM,49168.89,49358.75,48865.94,49211.83,2276.03432
2021-12-15 22PM,48747.3,49235.38,48653,49168.89,1159.5972
2021-12-15 23PM,48864.98,48974.09,48700.19,48747.31,1285.21724
2021-12-16 00AM,49052.45,49269.03,48723.89,48864.98,1429.90981
2021-12-16 01AM,49027.01,49140,48830.13,49052.45,1022.03367
2021-12-16 02AM,49009.12,49069.6,48869,49027.01,775.15627
2021-12-16 03AM,48819.6,49053.35,48709.7,49009.13,883.00997
2021-12-16 04AM,48743.17,48888.87,48550,48819.59,1070.39618
2021-12-16 05AM,48513.9,48811.13,48502.26,48743.17,883.13902
2021-12-16 06AM,48894.65,48923.47,48504.07,48519.31,1091.46152
2021-12-16 07AM,48712.23,49072.3,48689.65,48894.65,1329.50233
2021-12-16 08AM,48765.39,48976.65,48608.62,48712.23,1199.03574
2021-12-16 09AM,48948.88,48975,48730,48765.39,870.47531
2021-12-16 10AM,49147.66,49239.05,48902.08,48948.88,1141.24127
2021-12-16 11AM,49207.79,49436.43,48864.47,49147.65,1523.47036
2021-12-16 12PM,48689.45,49213.74,48609.2,49207.79,2098.42985
2021-12-16 13PM,49006.79,49266.6,48378.65,48689.45,1896.88528
2021-12-16 14PM,48536.66,49013.25,48509.01,49006.79,1486.43845
2021-12-16 15PM,48585.81,48718.59,48243.58,48536.65,1926.76748
2021-12-16 16PM,48506.58,48717.43,48302.49,48578.61,1778.62433
2021-12-16 17PM,48084.14,48520.73,48060,48506.57,1593.51908
2021-12-16 18PM,47983.5,48313.29,47862.6,48084.15,1434.94112
2021-12-16 19PM,47866.01,48129.67,47666,47983.49,1763.75104
2021-12-16 20PM,47929.53,48387.54,47832.34,47866.01,1510.25811
2021-12-16 21PM,48089.61,48167.75,47900,47929.53,766.62189
2021-12-16 22PM,47821.27,48167.84,47511,48089.61,1428.35052
2021-12-16 23PM,47632.38,47821.27,47532.86,47821.27,1046.44879
2021-12-17 00AM,47789.74,47987.95,47390.43,47632.38,1660.09591
2021-12-17 01AM,47848.33,47995.96,47705.87,47789.74,663.92448
2021-12-17 02AM,47810.01,47876.28,47632.33,47848.33,610.47672
2021-12-17 03AM,47766.07,47813.58,47650,47810.02,565.46767
2021-12-17 04AM,47913.02,47950,47742.53,47766.07,655.02044
2021-12-17 05AM,47702.81,47953.22,47575.76,47913.02,798.74138
2021-12-17 06AM,47419.95,47738.07,47411,47702.81,872.46207
2021-12-17 07AM,47007.25,47430.26,46749.55,47419.95,3210.23622
2021-12-17 08AM,47136.35,47195,46900,47007.25,1352.88765
2021-12-17 09AM,47228.94,47288.27,46964.72,47136.34,1501.11062
2021-12-17 10AM,46954.96,47247.83,46769.89,47228.95,1783.33015
2021-12-17 11AM,47112.43,47298.54,46880.5,46954.96,1466.92351
2021-12-17 12PM,47039.43,47363.36,46924.99,47112.43,1313.16795
2021-12-17 13PM,46950.03,47242.47,46888,47039.43,1101.96482
2021-12-17 14PM,45971.01,46999.99,45750,46950.02,6567.83547
2021-12-17 15PM,46528.83,46615.96,45456,45971.02,5536.45529
2021-12-17 16PM,47077.3,47440.1,46400,46528.83,3904.78593
2021-12-17 17PM,46761.71,47085.22,46625,47077.29,1221.67911
2021-12-17 18PM,46989.28,47063.88,46616.99,46761.71,1078.55038
2021-12-17 19PM,46765.66,47111,46685.67,46989.28,1066.09261
2021-12-17 20PM,46183.92,46841.24,46157.56,46765.66,1566.14788
2021-12-17 21PM,46852.91,47093.16,46111.12,46183.93,1374.598
2021-12-17 22PM,46555.42,46965.58,45565.58,46852.9,2349.76861
2021-12-17 23PM,46131.2,46568.43,46090.21,46555.42,882.76583
2021-12-18 00AM,46314.87,46380.1,45777.45,46133.83,1690.65423
2021-12-18 01AM,45661.11,46362.47,45629.68,46314.88,1518.51151
2021-12-18 02AM,45696.23,45983.78,45500,45662.95,1168.64532
2021-12-18 03AM,46283.05,46545.83,45666.01,45696.22,1396.14327
2021-12-18 04AM,46395.9,46500,46072.33,46283.04,1033.28922
2021-12-18 05AM,46592.29,46858.27,46203.11,46395.89,1153.22623
2021-12-18 06AM,46332.38,46770.9,46265.94,46592.29,1034.72929
2021-12-18 07AM,46364.08,46468.98,46310.29,46332.39,656.85305
2021-12-18 08AM,46335.69,46662.96,46194.44,46364.09,1167.00547
2021-12-18 09AM,46841.63,46854.28,46328.4,46335.69,1023.84548
2021-12-18 10AM,47309.57,47392.37,46705.6,46841.62,1749.89596
2021-12-18 11AM,47070.44,47359.04,46930.46,47309.56,1008.64958
2021-12-18 12PM,47035.5,47168.74,46886.18,47070.43,808.18668
2021-12-18 13PM,46639.22,47085.1,46560.83,47035.51,1032.54688
2021-12-18 14PM,47009.02,47045.73,46600,46639.22,934.66406
2021-12-18 15PM,46858.55,47219.16,46825.33,47009.03,919.10574
2021-12-18 16PM,46799.94,46992.14,46756.28,46858.56,837.22386
2021-12-18 17PM,46665.13,46862.12,46593.9,46795,1321.02112
2021-12-18 18PM,46726.37,46777.84,46620.1,46665.13,660.74307
2021-12-18 19PM,46643.68,46774.44,46325.61,46726.37,1109.88266
2021-12-18 20PM,46864.56,46899.22,46525,46643.68,647.99698
2021-12-18 21PM,46948.38,46980,46740.9,46864.55,803.65536
2021-12-18 22PM,46773.84,47100,46666.67,46948.37,762.23854
2021-12-18 23PM,46834.48,47000.77,46639.7,46773.85,581.33915
2021-12-19 00AM,46664.34,46887.69,46550,46834.47,881.73769
2021-12-19 01AM,46579.22,46820.64,46406.91,46664.33,863.54041
2021-12-19 02AM,47150.01,47180.76,46527.76,46579.21,1361.88714
2021-12-19 03AM,47712.38,47990.75,47126.01,47150.01,2633.08777
2021-12-19 04AM,47892.73,48074.16,47712,47714.61,1247.47767
2021-12-19 05AM,47600,48011.68,47534.8,47892.73,1309.58546
2021-12-19 06AM,47484.32,47673.77,47447.62,47599.99,869.13874
2021-12-19 07AM,47515.09,47736,47445.16,47484.33,839.62779
2021-12-19 08AM,47473.06,47641.77,47405,47515.09,687.24313
2021-12-19 09AM,47102.02,47560.65,47000,47473.03,1635.40195
2021-12-19 10AM,47125.01,47222,46807.27,47102.02,1077.84148
2021-12-19 11AM,47152.72,47200.26,46964.46,47125.01,767.31963
2021-12-19 12PM,47256.64,47300,46867.01,47155.24,1111.78869
2021-12-19 13PM,47629.95,47777,46894.75,47256.64,1648.29469
2021-12-19 14PM,47393.2,48300.01,47000,47629.95,3709.81424
2021-12-19 15PM,47239.8,47470.01,47150,47393.21,786.11137
2021-12-19 16PM,47162.04,47500,47146,47239.81,780.38559
2021-12-19 17PM,47141.22,47237.92,47023.71,47162.03,791.62551
2021-12-19 18PM,47121.57,47178.91,46880,47141.22,751.59703
2021-12-19 19PM,46673.93,47153.79,46580,47117.22,1487.72658
2021-12-19 20PM,46776.39,46902.27,46482.9,46673.94,1033.95367
2021-12-19 21PM,46730.35,46884.95,46631.33,46776.38,597.90587
2021-12-19 22PM,47296.66,47550,46657.96,46730.36,1150.0924
2021-12-19 23PM,46681.23,47432.53,46600,47296.66,1282.52215
2021-12-20 00AM,46880.83,46900,46220,46681.24,1733.03255
2021-12-20 01AM,46619.56,47200,46493.19,46880.83,1539.83912
2021-12-20 02AM,46731.84,46831.57,46459.36,46619.55,980.7049
2021-12-20 03AM,46687.22,46846,46484.99,46731.85,1036.19149
2021-12-20 04AM,46967.48,47032.87,46659.82,46687.22,873.9888
2021-12-20 05AM,46433.18,47049.87,46376.02,46967.48,1375.30955
2021-12-20 06AM,46557.32,46664.96,46250,46433.17,1477.90081
2021-12-20 07AM,46429.19,46557.32,46103,46557.32,1340.34779
2021-12-20 08AM,46283.24,46554,46141.64,46429.19,1265.59991
2021-12-20 09AM,45839.4,46309.16,45819.02,46278.32,2346.10826
2021-12-20 10AM,45882.54,46142.94,45750,45839.4,1435.92368
2021-12-20 11AM,46092.6,46138.06,45822,45882.55,1067.69187
2021-12-20 12PM,45721.52,46092.6,45650,46092.6,1275.36393
2021-12-20 13PM,45713.94,45999.41,45581.94,45721.52,1317.09398
2021-12-20 14PM,46307.49,46313.89,45558.85,45713.94,2633.54582
2021-12-20 15PM,45974.08,46307.49,45907.81,46307.48,1562.93057
2021-12-20 16PM,46412.41,46499,45863.72,45974.09,1636.13153
2021-12-20 17PM,46116.61,46500,46101,46412.5,1200.80394
2021-12-20 18PM,46268.58,46340.1,46025.01,46116.62,1725.71117
2021-12-20 19PM,46585.55,46690,46240.01,46268.58,1717.22917
